Date,Susceptible,Infected,Recovered,Fatal
2020-02-09,126529084.0,14,2,0
2020-02-10,126529084.0,11,5,0
2020-02-11,126529084.0,11,5,0
2020-02-12,126529084.0,11,5,0
2020-02-13,126529083.0,11,6,0
2020-02-14,126529079.0,15,6,0
2020-02-15,126529079.0,15,6,0
2020-02-16,126529079.0,15,6,0
2020-02-17,126529054.0,38,7,1
2020-02-18,126529047.0,45,7,1
2020-02-19,126529040.0,51,8,1
2020-02-20,126529030.0,60,9,1
2020-02-21,126529021.0,69,9,1
2020-02-22,126529011.0,79,9,1
2020-02-23,126528987.0,100,12,1
2020-02-24,126528975.0,108,16,1
2020-02-25,126528961.0,118,20,1
2020-02-26,126528952.0,124,23,1
2020-02-27,126528930.0,137,30,3
2020-02-28,126528907.0,159,30,4
2020-02-29,126528887.0,177,31,5
2020-03-01,126528878.0,185,32,5
2020-03-02,126528863.0,199,32,6
2020-03-03,126528849.0,210,35,6
2020-03-04,126528834.0,223,37,6
2020-03-05,126528801.0,255,38,6
2020-03-06,126528770.0,269,55,6
2020-03-07,126528712.0,320,62,6
2020-03-08,126528665.0,363,66,6
2020-03-09,126528633.0,373,87,7
2020-03-10,126528607.0,396,88,9
2020-03-11,126528554.0,434,101,11
2020-03-12,126528498.0,482,106,14
2020-03-13,126528448.0,516,118,18
2020-03-14,126528408.0,545,127,20
2020-03-15,126528346.0,595,139,20
2020-03-16,126528314.0,618,146,22
2020-03-17,126528300.0,621,153,26
2020-03-18,126528256.0,644,173,27
2020-03-19,126528218.0,657,196,29
2020-03-20,126528182.0,680,208,30
2020-03-21,126528130.0,725,213,32
2020-03-22,126528096.0,719,252,33
2020-03-23,126528054.0,753,255,38
2020-03-24,126528017.0,765,279,39
2020-03-25,126527953.0,820,288,39
2020-03-26,126527860.0,863,336,41
2020-03-27,126527766.0,943,349,42
2020-03-28,126527663.0,1012,380,45
2020-03-29,126527471.0,1182,399,48
2020-03-30,126527300.0,1336,415,49
2020-03-31,126527234.0,1385,430,51
2020-04-01,126527016.0,1586,446,52
2020-04-02,126526819.0,1747,479,55
2020-04-03,126526587.0,1968,487,58
2020-04-04,126526277.0,2213,547,63
2020-04-05,126525944.0,2536,556,64
2020-04-06,126525571.0,2899,563,67
2020-04-07,126525325.0,3110,592,73
2020-04-08,126524978.0,3446,602,74
2020-04-09,126524485.0,3884,654,77
2020-04-10,126523912.0,4426,682,80
2020-04-11,126523264.0,5021,729,86
2020-04-12,126522558.0,5703,750,89
2020-04-13,126522056.0,6186,765,93
2020-04-14,126521675.0,6508,818,99
2020-04-15,126521225.0,6902,865,108
2020-04-16,126520752.0,7326,898,124
2020-04-17,126520174.0,7819,973,134
2020-04-18,126519554.0,8377,1029,140
2020-04-19,126518995.0,8842,1117,146
2020-04-20,126518611.0,9139,1195,155
2020-04-21,126518249.0,9372,1310,169
2020-04-22,126517877.0,8994,1978,251
2020-04-23,126517460.0,9042,2338,260
2020-04-24,126516997.0,9352,2463,288
2020-04-25,126516561.0,9649,2587,303
2020-04-26,126516215.0,9833,2736,316
2020-04-27,126516016.0,9942,2824,318
2020-04-28,126515828.0,9831,3100,341
2020-04-29,126515558.0,9906,3283,353
2020-04-30,126515327.0,10024,3373,376
2020-05-01,126515138.0,9694,3876,392
2020-05-02,126514878.0,9706,4101,415
2020-05-03,126514587.0,9796,4271,446
2020-05-04,126514372.0,9886,4380,462
2020-05-05,126514200.0,9959,4469,472
2020-05-06,126514078.0,9738,4792,492
2020-05-07,126513971.0,9615,5015,499
2020-05-08,126513890.0,8947,5758,505
2020-05-09,126513790.0,6836,7930,544
2020-05-10,126513693.0,6759,8092,556
2020-05-11,126513645.0,6567,8325,563
2020-05-12,126513570.0,6242,8705,583
2020-05-13,126513423.0,5440,9632,605
2020-05-14,126513370.0,5016,10091,623
2020-05-15,126513257.0,4648,10552,643
2020-05-16,126513214.0,4341,10888,657
2020-05-17,126513168.0,4114,11144,674
2020-05-18,126513148.0,3983,11290,679
2020-05-19,126513089.0,3717,11603,691
2020-05-20,126513069.0,3336,11996,699
2020-05-21,126513031.0,2992,12373,704
2020-05-22,126512944.0,2736,12699,721
2020-05-23,126512921.0,2514,12933,732
2020-05-24,126512908.0,2351,13098,743
2020-05-25,126512880.0,2321,13147,752
2020-05-26,126512839.0,2156,13339,766
2020-05-27,126512815.0,2009,13499,777
2020-05-28,126512787.0,1860,13668,785
2020-05-29,126512753.0,1783,13772,792
2020-05-30,126512679.0,1698,13920,803
2020-05-31,126512636.0,1685,13972,807
2020-06-01,126512608.0,1670,14014,808
2020-06-02,126512563.0,1568,14159,810
2020-06-03,126512509.0,1499,14277,815
2020-06-04,126512481.0,1438,14363,818
2020-06-05,126512439.0,1373,14466,822
2020-06-06,126512403.0,1300,14569,828
2020-06-07,126512366.0,1276,14628,830
2020-06-08,126512340.0,1293,14637,830
2020-06-09,126512304.0,1266,14700,830
2020-06-10,126512278.0,1206,14783,833
2020-06-11,126512240.0,1165,14862,833
2020-06-12,126512201.0,1097,14967,835
2020-06-13,126512157.0,1054,15052,837
2020-06-14,126512113.0,1042,15107,838
2020-06-15,126512055.0,1059,15148,838
2020-06-16,126511983.0,1114,15163,840
2020-06-17,126511944.0,1005,15308,843
2020-06-18,126511908.0,958,15387,847
2020-06-19,126511869.0,925,15459,847
2020-06-20,126511784.0,927,15527,862
2020-06-21,126511720.0,960,15557,863
2020-06-22,126511675.0,981,15581,863
2020-06-23,126511627.0,957,15651,865
2020-06-24,126511575.0,952,15701,872
2020-06-25,126511497.0,970,15757,876
2020-06-26,126511414.0,981,15828,877
2020-06-27,126511321.0,1014,15886,879
2020-06-28,126511233.0,1050,15938,879
2020-06-29,126511149.0,1082,15989,880
2020-06-30,126511034.0,1128,16058,880
2020-07-01,126510912.0,1153,16154,881
2020-07-02,126510763.0,1261,16194,882
2020-07-03,126510573.0,1361,16283,883
2020-07-04,126510362.0,1480,16374,884
2020-07-05,126510131.0,1622,16463,884
2020-07-06,126509892.0,1788,16536,884
2020-07-07,126509692.0,1920,16603,885
2020-07-08,126509506.0,1973,16734,887
2020-07-09,126509314.0,2032,16866,888
2020-07-10,126508975.0,2188,17048,889
2020-07-11,126508579.0,2392,17240,889
2020-07-12,126508223.0,2597,17391,889
2020-07-13,126507881.0,2841,17489,889
2020-07-14,126507546.0,3001,17664,889
2020-07-15,126507266.0,3040,17904,890
2020-07-16,126506901.0,3142,18166,891
2020-07-17,126506329.0,3438,18442,891
2020-07-18,126505685.0,3818,18706,891
2020-07-19,126505190.0,4108,18911,891
2020-07-20,126504750.0,4371,19088,891
2020-07-21,126504128.0,4601,19477,894
2020-07-22,126503582.0,4674,19949,895
2020-07-23,126502868.0,5012,20324,896
2020-07-24,126501966.0,5625,20611,898
2020-07-25,126501151.0,6206,20844,899
2020-07-26,126500572.0,6592,21035,901
2020-07-27,126499998.0,6820,21381,901
2020-07-28,126499035.0,7104,22058,903
2020-07-29,126498118.0,7338,22738,906
2020-07-30,126497005.0,7791,23395,909
2020-07-31,126495704.0,8358,24128,910
2020-08-01,126494262.0,9232,24691,915
2020-08-02,126493423.0,9680,25082,915
2020-08-03,126491455.0,11079,25650,916
2020-08-04,126490319.0,11518,26344,919
2020-08-05,126489069.0,11950,27156,925
2020-08-06,126487955.0,12230,27986,929
2020-08-07,126486432.0,12499,29234,935
2020-08-08,126484832.0,12966,30362,940
2020-08-09,126483512.0,13302,31345,941
